"hans","2019-05-08 06:51:52","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-08 06:59:35","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-08 07:02:16","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-08 07:04:29","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-08 07:09:04","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-08 07:18:23","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-08 07:19:44","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 06:46:03","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 06:51:49","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 06:54:16","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 06:57:28","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 07:11:10","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 07:25:57","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 07:36:14","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 07:42:17","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 08:03:31","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 08:04:50","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
"hans","2019-05-09 08:09:15","Please choose the right answer(s) by typing in the number(s) of the answer(s) into user input:
What are literals?
1. A literal is the source code representation of a value of a primitive type or the null type (empty value).
2. A literal is part of the program that contains only constants.
3. A literal is the human readable part of the program
","1","fehlerhaft"
